anime,season,year,category,songname,artist,link,status
Arte,Spring 2020,2020,Ending Theme,Hare Moyou (晴れ模様),Kiyono Yasuno,https://open.spotify.com/track/4P1Cx40OQChjAPEai5Heht,
Aru Asa Dummy Head Mic ni Natteita Ore-kun no Jinsei,Fall 2022,2022,Ending Theme,形にできないモノローグ,KOTOKO, ,
Asagao to Kase-san. (Kase-san and Morning Glories),,1900,Ending Theme,Asu e no Tobira (明日への扉),Yui Yamada (Minami Takahashi) & Tomoka Kase (Ayane Sakura),https://open.spotify.com/track/6LdJF87gNAlqp3n51ns9mQ,
Asatir: Mirai no Mukashi Banashi (Future Folktales),Spring 2020,2020,Opening Theme,Mirai no Mukashibanashi (未来の昔ばなし),Sachiko Watabe (渡部沙智子), ,
Asatir: Mirai no Mukashi Banashi (Future Folktales),Spring 2020,2020,Ending Theme,Kioku no Mukou (記憶の向こう),Sachiko Watabe (渡部沙智子), ,
Asobi Asobase (Asobi Asobase,Summer 2018,2018,Opening Theme,Three-Piece (スリピス),"Hanako Honda (Hina Kino), Olivia (Rika Nagae), Kasumi Nomura (Konomi Kohara)", ,
Asobi Asobase (Asobi Asobase,Summer 2018,2018,Ending Theme,Inkya Impulse (インキャインパルス),"Hanako Honda (Hina Kino), Olivia (Rika Nagae), Kasumi Nomura (Konomi Kohara) feat. Ikepy & KSKN", ,
Asobi Asobase Specials,,1900,Opening Theme,Three-Piece (スリピス),"Hanako Honda (Hina Kino), Olivia (Rika Nagae), Kasumi Nomura (Konomi Kohara)", ,
Asobi Asobase: Cosplay Taikai/Otona no Watashi e,,1900,Opening Theme,Three-Piece (スリピス),"Hanako Honda (Hina Kino), Olivia (Rika Nagae), Kasumi Nomura (Konomi Kohara)", ,
Asobi Asobase: Cosplay Taikai/Otona no Watashi e,,1900,Ending Theme,Inkya Impulse (インキャインパルス),"Hanako Honda (Hina Kino), Olivia (Rika Nagae), Kasumi Nomura (Konomi Kohara) feat. Ikepy & KSKN", ,
Assassins Pride,Fall 2019,2019,Opening Theme,Share the light,"Run Girls, Run!",https://open.spotify.com/track/1Rcu3RBBSWWYSMCSfULM63,
Assassins Pride,Fall 2019,2019,Ending Theme,Ijin-tachi no Jikan (異人たちの時間),Melida Angel (Tomori Kusunoki),https://open.spotify.com/track/75snEgrFyCpvJ60c9tUVe0,
Assault Lily: Bouquet,Fall 2020,2020,Opening Theme,Sacred world,RAISE A SUILEN,https://open.spotify.com/track/0j0UzZIX3D5NjvALPdG6Te,
Assault Lily: Bouquet,Fall 2020,2020,Ending Theme,Edel Lilie,Hitotsuyanagi Team (一柳隊),https://open.spotify.com/track/6w0bXMRnIOZAcGXiQKFx4B,
Assault Lily: Bouquet,Fall 2020,2020,Ending Theme,Heart+Heart,Riri Hitotsuyanagi (Hikaru Akao) & Yuyu Shirai (Yuuko Natsuyoshi),https://open.spotify.com/track/5kbCJDfthHtiBNdNkeQVyh,
Assault Lily: Bouquet,Fall 2020,2020,Ending Theme,GROWING,Hitotsuyanagi Team (一柳隊),https://open.spotify.com/track/6vLCUpSehAI6ahEWtPijOS,
Assault Lily: Bouquet,Fall 2020,2020,Ending Theme,Blink,Reina Ueda, ,
Ayakashi Triangle,Winter 2023,2023,Opening Theme,Neppu wa Rutensuru (熱風は流転する),Philosophy no Dance,https://open.spotify.com/track/4ARkjC2vdX6KEDBUKvCTti,
Ayakashi Triangle,Winter 2023,2023,Ending Theme,"Itowanai feat. Miyu Tomita, Kana Ichinose (厭わない feat. 富田美憂,市ノ瀬加那)",MIMiNARI,https://open.spotify.com/track/17f8pQdBqQd27349d4AINC,
Azur Lane (Azur Lane the Animation),Fall 2019,2019,Opening Theme,graphite/diamond,May'n,https://open.spotify.com/track/7dHtm6v0oCuh9goDtWQiyP,
Azur Lane (Azur Lane the Animation),Fall 2019,2019,Ending Theme,Hikari no Michishirube (光の道標),Kano,https://open.spotify.com/track/1qKNT75TVw9lbS6Y4Su92i,
Azur Lane: Bisoku Zenshin! (Azur Lane: Slow Ahead!),Winter 2021,2021,Opening Theme,Longing for!,Emi Nitta,https://open.spotify.com/track/4xU2SAeIHKtVsx996WnSsy,
Azur Lane: Bisoku Zenshin! (Azur Lane: Slow Ahead!),Winter 2021,2021,Ending Theme,Mahiruiro Siesta (まひるいろシエスタ),Yui Sakakibara,https://open.spotify.com/track/0ljrJ1wIXoeV16yP98YI2t,
B: The Beginning,,1900,Ending Theme,The Perfect World,"Marty Friedman feat. Jean-Ken Johnny, KenKen",https://open.spotify.com/track/1fPWFs6GjcSXknQKa6YKIh,
Babylon,Fall 2019,2019,Opening Theme,Echoing ft. Sysha,Yamada Yutaka, ,
Babylon,Fall 2019,2019,Ending Theme,Live and let die,Q-MHz feat. uloco, ,
Babylon,Fall 2019,2019,Ending Theme,Inochi Shokumu Tamashii (イノチ食ム魂),Q-MHz feat. Mikako Komatsu,https://open.spotify.com/track/0bvwp5Kk2yGUF2Aw3NHRlf,
Babylon,Fall 2019,2019,Ending Theme,The next new world that no one knows,Q-MHz feat. *Namirin,https://open.spotify.com/track/0bCs7xOb9Qhve5Y4eRzja2,
Back Arrow,Winter 2021,2021,Opening Theme,dawn,LiSA,https://open.spotify.com/track/1IRwNWiB2aDEoSdUgjJmay,
Back Arrow,Winter 2021,2021,Opening Theme,Kodou (鼓動),Eir Aoi, ,
Back Arrow,Winter 2021,2021,Ending Theme,Sekai no Hate (セカイノハテ),Shuka Saitou,https://open.spotify.com/track/5mHUdzNEIssZLxakbaFjzh,
Back Arrow,Winter 2021,2021,Ending Theme,United Sparrows,FLOW, ,
Back Street Girls: Gokudolls (Back Street Girls: Gokudols),Summer 2018,2018,Opening Theme,Gokudoll Music (ゴクドルミュージック),"Gokudolls Niji Gumi (ゴクドルズ虹組) [Airi (Yuka Nukui), Mari (Kaori Maeda), Rika (Hika Akao)]",https://open.spotify.com/track/3x3BqSrtE0hXSHXjZmjD0w,
Back Street Girls: Gokudolls (Back Street Girls: Gokudols),Summer 2018,2018,Opening Theme,Gokudoll Music (ゴクドルミュージック),"Gokudolls Kan Gumi (ゴクドルズ漢組) [ Kentarou Yamamoto (Daisuke Ono), Ryou Tachibana (Satoshi Hino), Kazuhiko Sugiwara (Kazuyuki Okitsu)]",https://open.spotify.com/track/0bueAQxFKSNFBjR7uZasAm,
Back Street Girls: Gokudolls (Back Street Girls: Gokudols),Summer 2018,2018,Ending Theme,Hoshi no Katachi (星のかたち),"Gokudolls Niji Gumi (ゴクドルズ虹組) [Airi (Yuka Nukui), Mari (Kaori Maeda), Rika (Hika Akao)]",https://open.spotify.com/track/4aFZI8GGs1o5VEmIDPMbxw,
Back Street Girls: Gokudolls (Back Street Girls: Gokudols),Summer 2018,2018,Ending Theme,Hoshi no Katachi (星のかたち),"Gokudolls Kan Gumi (ゴクドルズ漢組) [ Kentarou Yamamoto (Daisuke Ono), Ryou Tachibana (Satoshi Hino), Kazuhiko Sugiwara (Kazuyuki Okitsu)]",https://open.spotify.com/track/5kOb2UCorCUj1LBFFPRn3z,
Bakemono no Ko (The Boy and the Beast),,1900,Ending Theme,Starting Over,Mr.Children,https://open.spotify.com/track/4I87AgUvLk5VZqu7XM3MXq,
Bakuten!! (Backflip!!),Spring 2021,2021,Opening Theme,Seishun no Enbu (青春の演舞),Centimillimental,https://open.spotify.com/track/7wprJR53h8mCKUycnUUiz1,
Bakuten!! (Backflip!!),Spring 2021,2021,Ending Theme,Anata ga Iru (あなたがいる),wacci,https://open.spotify.com/track/0zrqEdXxtNbM9ksb3WJjsv,
Ballroom e Youkoso (Welcome to the Ballroom),Summer 2017,2017,Opening Theme,"10% roll, 10% romance",UNISON SQUARE GARDEN,https://open.spotify.com/track/5Nh0PTZYAbyh5CjMXjYp38,
Ballroom e Youkoso (Welcome to the Ballroom),Summer 2017,2017,Opening Theme,Invisible Sensation,UNISON SQUARE GARDEN,https://open.spotify.com/track/6A1VhL33Ns2f8PtC4I1dtG,
Ballroom e Youkoso (Welcome to the Ballroom),Summer 2017,2017,Ending Theme,Maybe the next waltz,Mikako Komatsu,https://open.spotify.com/track/0053S9wvmByLqoAX2asczn,
Ballroom e Youkoso (Welcome to the Ballroom),Summer 2017,2017,Ending Theme,Swing heart direction,Mikako Komatsu,https://open.spotify.com/track/2de9O9MCRDf2qXKjgrr1vp,
Banana Fish,Summer 2018,2018,Opening Theme,found & lost,Survive Said The Prophet,https://open.spotify.com/track/6euwgOanJOzsBeZUDTbx29,
Banana Fish,Summer 2018,2018,Opening Theme,FREEDOM,BLUE ENCOUNT,https://open.spotify.com/track/2bHdWI2uCxPJIAACBQLsgm,
Banana Fish,Summer 2018,2018,Ending Theme,Prayer X,King Gnu,https://open.spotify.com/track/0r2PAeROizyyoFMpu0fvwI,
Banana Fish,Summer 2018,2018,Ending Theme,RED,Survive Said The Prophet,https://open.spotify.com/track/5pz5S3ZqMPnd8or4IGUVho,
BanG Dream!,Winter 2017,2017,Opening Theme,Tokimeki Experience! (ときめきエクスペリエンス！),Poppin'Party,https://open.spotify.com/track/52sMyIxbz7FuCnaQyCacIk,
BanG Dream!,Winter 2017,2017,Ending Theme,Don't be afraid,Glitter*Green,https://open.spotify.com/track/6xdaAj70Cp5XSSuEIuzWef,
BanG Dream!,Winter 2017,2017,Ending Theme,Kirakira Da Toka Yume Da Toka: Sing Girls (キラキラだとか夢だとか ~Sing Girls~),Poppin'Party,https://open.spotify.com/track/0V1DIariXWpmS20mpaC7bn,
BanG Dream!,Winter 2017,2017,Ending Theme,Tear Drops,Poppin'Party,https://open.spotify.com/track/6LOwfEulHshS3CXEtPnnjr,
BanG Dream! 2nd Season,Winter 2019,2019,Opening Theme,キズナミュージック♪ (Kizuna Music♪),Poppin'Party,https://open.spotify.com/track/3ChOQP9nJkBxuyR6hRbaxi,
BanG Dream! 2nd Season,Winter 2019,2019,Opening Theme,BRAVE JEWEL,Roselia,https://open.spotify.com/track/0sm4Mqx3NJfQbMrh0n6rRx,
BanG Dream! 2nd Season,Winter 2019,2019,Ending Theme,Safe and Sound,Roselia,https://open.spotify.com/track/0dWrppEj5zNodNDoGZojoo,
BanG Dream! 2nd Season,Winter 2019,2019,Ending Theme,Jumpin',Poppin'Party,https://open.spotify.com/track/2YjrrfEbsAKeGe6NJTqswY,
BanG Dream! 2nd Season,Winter 2019,2019,Ending Theme,キズナミュージック♪ (Kizuna Music♪),Poppin'Party,https://open.spotify.com/track/3ChOQP9nJkBxuyR6hRbaxi,
BanG Dream! 3rd Season,Winter 2020,2020,Opening Theme,Initial,Poppin'Party,https://open.spotify.com/track/28K904SKzdLam6ZI7fF45u,
BanG Dream! 3rd Season,Winter 2020,2020,Ending Theme,Yume wo Uchinuku Shunkan ni! (夢を撃ち抜く瞬間に!),Poppin'Party,https://open.spotify.com/track/58owpwr0vtowPGVouuO3rs,
BanG Dream! 3rd Season,Winter 2020,2020,Ending Theme,FIRE BIRD,Roselia,https://open.spotify.com/track/0gInZOt8Lu0Aw8WsWDsFsP,
BanG Dream! 3rd Season,Winter 2020,2020,Ending Theme,Yume wo Uchinuku Shunkan ni! (夢を撃ち抜く瞬間に!),Poppin'Party x Roselia x RAISE A SUILEN, ,
BanG Dream! Film Live,,1900,Ending Theme,Jumpin,Poppin'Party,https://open.spotify.com/track/2YjrrfEbsAKeGe6NJTqswY,
BanG Dream! Garupa☆Pico,,1900,Ending Theme,Picotto! Papitto!! Garupa☆Pico!!! (ピコっと！パピっと!! ガルパ☆ピコ!!!),Kasumi x Ran x Aya x Yukina x Kokoro (香澄×蘭×彩×友希那×こころ),https://open.spotify.com/track/6fPkczUh0DSxfwxAz9WgOW,
BanG Dream! Garupa☆Pico Fever!,,1900,Ending Theme,"Pico Tarumono, Fever! (ピコたるもの、ふぃーばー！) ",Kasumi x Ran x Aya x Yukina x Kokoro x Mashiro x Layer (香澄×蘭×彩×友希那×こころ×ましろ×レイヤ),https://open.spotify.com/track/57ghecG2HqzcXIHduOQwGO,
BanG Dream! Garupa☆Pico: Oomori,,1900,Ending Theme,Oomori Icchou! Garupa☆Pico (大盛り一丁！ガルパ☆ピコ),Kasumi x Ran x Aya x Yukina x Kokoro (香澄×蘭×彩×友希那×こころ), ,
BanG Dream! It's MyGO!!!!!,Summer 2023,2023,Opening Theme,Hitoshizuku (壱雫空),MyGO!!!!!, ,
BanG Dream! It's MyGO!!!!!,Summer 2023,2023,Ending Theme,Shiori (栞),MyGO!!!!!, ,
BanG Dream! Morfonication,,1900,Ending Theme,flame of hope -instrumental-,Morfonica,https://open.spotify.com/track/5gVM0EJQqP5dOc3fnIpHSb,
BanG Dream! Morfonication,,1900,Ending Theme,"寄る辺のSunny, Sunny",Morfonica,https://open.spotify.com/track/0PUwA4Cjz4LE5rUzCqQPpJ,
BanG Dream! Movie: Episode of Roselia,,1900,Opening Theme,Proud of oneself,Roselia,https://open.spotify.com/track/3LkLzp3pFCU70XjfPMqZJS,
BanG Dream! Movie: Episode of Roselia,,1900,Ending Theme,overtuRe,Roselia,https://open.spotify.com/track/2LWATBNOgMvQO7A750DdJq,
BanG Dream! Movie: Episode of Roselia,,1900,Opening Theme,Sing Alive,Roselia,https://open.spotify.com/track/4LCYhSL74qYUsylodT0DNT,
BanG Dream! Movie: Episode of Roselia,,1900,Ending Theme,"Singing ""OURS",Roselia,https://open.spotify.com/track/2PViKaspJwLIHoFSz976vR,
BanG Dream! Movie: Poppin' Dream! (BanG Dream! Poppin'Dream!),,1900,Opening Theme,Poppin' Dream! (ぽっぴん'どりーむ！),Poppin' Dream!,https://open.spotify.com/track/3nht4Q0Ajj2CgVMoKASNhh,
BanG Dream! Movie: Poppin' Dream! (BanG Dream! Poppin'Dream!),,1900,Ending Theme,Hoshi no Yakusoku (星の約束),Poppin'Party, ,
BanG Dream!: Asonjatta! (BanG Dream!: We Had Some Fun!),,1900,Opening Theme,Tokimeki Experience! (ときめきエクスペリエンス！),Poppin'Party,https://open.spotify.com/track/52sMyIxbz7FuCnaQyCacIk,
BanG Dream!: Asonjatta! (BanG Dream!: We Had Some Fun!),,1900,Ending Theme,Nesshoku Starmine (熱色スターマイン),Roselia,https://open.spotify.com/track/3xvNcsZzbkMTCsuCVQw5pE,
Beastars,Fall 2019,2019,Opening Theme,Wild Side,ALI, ,
Beastars,Fall 2019,2019,Ending Theme,Le zoo,YURiKA,https://open.spotify.com/track/4MD7NIoJrvqTveOK8yyBZ6,
Beastars,Fall 2019,2019,Ending Theme,Nemuru Honnou (眠れる本能),YURiKA,https://open.spotify.com/track/4x3g8bpzufkxRPox2jnPXA,
Beastars,Fall 2019,2019,Ending Theme,Marble,YURiKA,https://open.spotify.com/track/0enY7XMbYUYLl82cLtmIgX,
Beastars,Fall 2019,2019,Ending Theme,Tsuki ni Ukabu Monogatari (月に浮かぶ物語),YURiKA,https://open.spotify.com/track/1n1RtW2V8PKoOhO2p1cTth,
Beastars 2nd Season,Winter 2021,2021,Opening Theme,Kaibutsu (怪物),YOASOBI,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi,
Beastars 2nd Season,Winter 2021,2021,Opening Theme,Yasashii Suisei (優しい彗星),YOASOBI, ,
Beastars 2nd Season,Winter 2021,2021,Ending Theme,Kaibutsu (怪物),YOASOBI,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi,
Beastars 2nd Season,Winter 2021,2021,Ending Theme,Yasashii Suisei (優しい彗星),YOASOBI,https://open.spotify.com/track/19fhOFi6pNGeZe5uiFlm7c,
Beatless,Winter 2018,2018,Opening Theme,Error,GARNiDELiA,https://open.spotify.com/track/00Ux7kv8wPsh8vbUxroXdP,
Beatless,Winter 2018,2018,Opening Theme,Truth.,TrySail,https://open.spotify.com/track/2tZpMPYzE9XON8RD3auFWx,
Beatless,Winter 2018,2018,Ending Theme,PRIMALove,ClariS,https://open.spotify.com/track/1IerXr4oVmIAZwFEYtprZN,
Beatless,Winter 2018,2018,Ending Theme,Shapeless,Tokyo Performance Doll,https://open.spotify.com/track/0NRxPm6cN40RSDUC71juo2,
Beatless Final Stage,Summer 2018,2018,Opening Theme,Truth.,TrySail,https://open.spotify.com/track/2tZpMPYzE9XON8RD3auFWx,
Beatless Final Stage,Summer 2018,2018,Ending Theme,Shapeless,Tokyo Performance Doll,https://open.spotify.com/track/0NRxPm6cN40RSDUC71juo2,
Beatless Intermission,,1900,Opening Theme,Error,GARNiDELiA,https://open.spotify.com/track/00Ux7kv8wPsh8vbUxroXdP,
Beatless Intermission,,1900,Opening Theme,Truth.,TrySail,https://open.spotify.com/track/2tZpMPYzE9XON8RD3auFWx,
Beatless Intermission,,1900,Ending Theme,PRIMALove,ClariS,https://open.spotify.com/track/1IerXr4oVmIAZwFEYtprZN,
Beatless Intermission,,1900,Ending Theme,Shapeless,Tokyo Performance Doll,https://open.spotify.com/track/0NRxPm6cN40RSDUC71juo2,
Beelzebub-jou no Okinimesu mama. (As Miss Beelzebub Likes.),Fall 2018,2018,Opening Theme,Pink Lemonade (ピンクレモネード),Sangatsu no Phantasia,https://open.spotify.com/track/23URlbR7WyCNCgfaFWEz6h,
Beelzebub-jou no Okinimesu mama. (As Miss Beelzebub Likes.),Fall 2018,2018,Ending Theme,Akumade Koiwazurai (あくまで恋煩い),"Beelzebub (Saori Oonishi), Belphegor (Misaki Kuno), Sargatanas (Ai Kakuma)", ,
Bem,Summer 2019,2019,Opening Theme,Uchuu no Kioku (宇宙の記憶),Maaya Sakamoto,https://open.spotify.com/track/3uaZprGpodif2hd4GPEZGA,
Bem,Summer 2019,2019,Ending Theme,Iru Imi (イルイミ),JUNNA,https://open.spotify.com/track/1DWWJaZvY3Dsyu9lWfgsqD,
Bem Movie: Become Human,,1900,Ending Theme,unforever,Ribu (りぶ),https://open.spotify.com/track/1UoWndDZssatfSIKn0lTPh,
"Benriya Saitou-san, Isekai ni Iku",Winter 2023,2023,Opening Theme,kaleidoscope,Teary Planet,https://open.spotify.com/track/0w0F8MVByUtVTVR9l1H2hw,
"Benriya Saitou-san, Isekai ni Iku",Winter 2023,2023,Ending Theme,kaleidoscope,Teary Planet, ,
"Benriya Saitou-san, Isekai ni Iku",Winter 2023,2023,Ending Theme,Hidamari no Saido (ひだまりの彩度),konoco,https://open.spotify.com/track/4k7SbeIQxuVX7kmBzREYdM,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Opening Theme,William Tell Overture,Jin Katagiri & Akihito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Kimi wa Hellenes (君はヘレネス),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,ZE.N.RA,Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,toko no Arete (男のアレーテー),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Hajimari wa Itsumo Zeus (はじまりはいつもゼウス),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Ato no Aegean Sea (痕のエーゲ海),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Konya wa Symposium (今夜はシンポジ才ン),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Sweet Olympia (スイートオリンピア),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Endless Summer (エンドレスサマー ),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Tatero! Tropaion (立てろ！トロパイオン),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Sparta-jin Kowai (スパルタ人こわい),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Kokugai de wa Betsu no Kao (国外では別の顔),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Sayonara Sparta (さよならスパルタ),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,LADY discrimination,Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Kimi wa Nani Slone (君は何スロン),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Yume no Market (夢のマーケット ),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Zurui Hito (ずるい皇帝（ひと）),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Kimi no Pessoi (君のペッソイ ),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Tetsugakusha no Shokutaku (哲学者の食卓),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Herma! Herma! Herma! (ヘルマ！ヘルマ！ヘルマ！),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,BURNING FIRE,Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Murabito Alpha (村人A（アルファ）),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Kimi no Shirio Uso (君の白い嘘),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Sayonara no Ori ni... (サヨナラの折に...),Akito Hayashi, ,
Bessatsu Olympia Kyklos (Extra Olympia Kyklos),Spring 2020,2020,Ending Theme,Tolympic (トリンピック),Akito Hayashi, ,
Birthday Wonderland (The Wonderland),,1900,Ending Theme,THE SHOW,milet (ミレイ),https://open.spotify.com/track/5nj834Zranvavw6U527zxh,
Bishounen Tanteidan (Pretty Boy Detective Club),Spring 2021,2021,Opening Theme,Shake & Shake,sumika,https://open.spotify.com/track/0idhExUjnjy7SKveejhupN,
Bishounen Tanteidan (Pretty Boy Detective Club),Spring 2021,2021,Ending Theme,Beautiful Reasoning,Bishounen Tanteidan, ,
Bishounen Tanteidan (Pretty Boy Detective Club),Spring 2021,2021,Ending Theme,Welcoming Days,Bishounen Tanteidan, ,
Black Bullet,Spring 2014,2014,Opening Theme,black bullet,fripSide,https://open.spotify.com/track/4LjxJSrkDGkwyIan8sHVHi,
Black Bullet,Spring 2014,2014,Ending Theme,Tokohana (トコハナ),Nagi Yanagi,https://open.spotify.com/track/4kvCCnaQa1BvbBwmIbaglv,
Black Bullet,Spring 2014,2014,Ending Theme,Wasurenai Tame ni (忘れない為に),Nagi Yanagi,https://open.spotify.com/track/6sIpNpUJ9hyeuPWf5OG18F,
Black Bullet,Spring 2014,2014,Ending Theme,Wasurenai Tame ni for lotus (忘れない為に for lotus),Nagi Yanagi, ,
Black Fox (Blackfox),,1900,Ending Theme,BLACK FOX,fripSide, ,
Black Lagoon,Spring 2006,2006,Opening Theme,Red Fraction,MELL,https://open.spotify.com/track/2hqpcsqOnPHxWDIRGPJAXC,
Black Lagoon,Spring 2006,2006,Ending Theme,Don't Look Behind,EDISON, ,
Black Lagoon: Roberta's Blood Trail,,1900,Opening Theme,Red Fraction IO Drive mix,MELL,https://open.spotify.com/track/4mXvTpcL5W7z6ZJiuomaJ1,
Black Lagoon: Roberta's Blood Trail,,1900,Ending Theme,When Johnny Comes Marching Home,EDISON, ,
Black Lagoon: Roberta's Blood Trail,,1900,Ending Theme,This Moment: Prayer in the Light,"Minako ""mooki"" Obata", ,
Black Lagoon: The Second Barrage,Fall 2006,2006,Opening Theme,Red Fraction,MELL,https://open.spotify.com/track/7AfaErt9h8MViFyjdzO9JC,
Black Lagoon: The Second Barrage,Fall 2006,2006,Ending Theme,Don't Look Behind,EDISON, ,
Black Lagoon: The Second Barrage,Fall 2006,2006,Ending Theme,The World of Midnight,Minako Obata, ,
Black Lagoon: The Second Barrage,Fall 2006,2006,Ending Theme,Peach Headz Addiction,Breath Frequency, ,
Blue Lock,Fall 2022,2022,Opening Theme,カオスが極まる,UNISON SQUARE GARDEN,https://open.spotify.com/track/0lPfqcI3A8gQ9971nXxgq6,
Blue Lock,Fall 2022,2022,Opening Theme,Judgement,ASH DA HERO, ,
Blue Lock,Fall 2022,2022,Ending Theme,Chaos ga Kiwamaru (カオスが極まる),UNISON SQUARE GARDEN, ,
Blue Lock,Fall 2022,2022,Ending Theme,WINNER,Shuugo Nakamura, ,
Blue Lock,Fall 2022,2022,Ending Theme,Judgement,ASH DA HERO, ,
Blue Lock,Fall 2022,2022,Ending Theme,Numbness like a ginger,UNISON SQUARE GARDEN, ,
Blue Reflection Ray,Spring 2021,2021,Opening Theme,DiViNE,EXiNA,https://open.spotify.com/track/6gjkal8BbkbHQst6XUvNsr,
Blue Reflection Ray,Spring 2021,2021,Opening Theme,Atok (アトック),Eir Aoi,https://open.spotify.com/track/0vWlopeKCm1atNKaTv1Bhg,
Blue Reflection Ray,Spring 2021,2021,Ending Theme,Saishin (最深),ACCAMER,https://open.spotify.com/track/40tZIkyZZGw1a4oQAFZL2P,
Blue Reflection Ray,Spring 2021,2021,Ending Theme,fluoresce,ACCAMER,https://open.spotify.com/track/1ateBKHf1xM5z12VmsEtx5,
BNA (BNA: Brand New Animal),Spring 2020,2020,Opening Theme,Ready to,Michiru Kagemori (Sumire Morohoshi),https://open.spotify.com/track/75w5cEpLMvUsuZQkY16AI3,
BNA (BNA: Brand New Animal),Spring 2020,2020,Ending Theme,NIGHT RUNNING,AAAMYYY,https://open.spotify.com/track/1U1hHDgjZC1WbZ7aVR2mMf,
Boku dake ga Inai Machi (ERASED),Winter 2016,2016,Opening Theme,Re:Re:,Asian Kung-Fu Generation,https://open.spotify.com/track/0WaaPFt4Qy8sVfxKz43bCD,
Boku dake ga Inai Machi (ERASED),Winter 2016,2016,Ending Theme,Re:Re:,Asian Kung-Fu Generation,https://open.spotify.com/track/0WaaPFt4Qy8sVfxKz43bCD,
Boku dake ga Inai Machi (ERASED),Winter 2016,2016,Ending Theme,Sore wa Chiisana Hikari no Youna (それは小さな光のような),Sayuri,https://open.spotify.com/track/7FOeR1X65DEG4KjpVhNC4Z,
Boku no Pico,,1900,Opening Theme,Koi wo Shiyou yo (恋をしようよ),Pico, ,
Boku no Tonari ni Ankoku Hakaishin ga Imasu.,Winter 2020,2020,Opening Theme,Take mo' Chance,all at once,https://open.spotify.com/track/4H3wFEqxpE5uVLhMV5A50J,
