anime,season,year,category,songname,artist,link,status
Arslan Senki (TV) (The Heroic Legend of Arslan),Spring 2015,2015,Opening Theme,"Boku no Kotoba de wa Nai, Kore wa Bokutachi no Kotoba"" (僕の言葉ではない これは僕達の言葉)",UVERworld,https://open.spotify.com/track/0StkLk0MA1i4kcUozLLxKl,
Arslan Senki (TV) (The Heroic Legend of Arslan),Spring 2015,2015,Opening Theme,Uzu to Uzu (渦と渦),NICO Touches the Walls,https://open.spotify.com/track/3FY7mddVdIlrL8yhEbh7nu,
Arslan Senki (TV) (The Heroic Legend of Arslan),Spring 2015,2015,Ending Theme,Lapis Lazuli (ラピスラズリ),Eir Aoi,https://open.spotify.com/track/3hVrXI22rHjP3ppXBV5uFr,
Arslan Senki (TV) (The Heroic Legend of Arslan),Spring 2015,2015,Ending Theme,One Light,Kalafina,https://open.spotify.com/track/1T2x2N3tIa2EP1uj8H67Tz,
Arslan Senki (TV) (The Heroic Legend of Arslan),Spring 2015,2015,Ending Theme,"Uzu to Uzu"" (渦と渦)",NICO Touches the Walls,https://open.spotify.com/track/3FY7mddVdIlrL8yhEbh7nu,
Arslan Senki (TV) Gaiden,,1900,Opening Theme,Uzu to Uzu (渦と渦),NICO Touches the Walls,https://open.spotify.com/track/3FY7mddVdIlrL8yhEbh7nu,
Arslan Senki (TV) Gaiden,,1900,Ending Theme,One Light,Kalafina,https://open.spotify.com/track/1T2x2N3tIa2EP1uj8H67Tz,
Arslan Senki (TV): Fuujin Ranbu,Summer 2016,2016,Opening Theme,Tsubasa (翼),Eir Aoi,https://open.spotify.com/track/6YOcFnrEyNPQKwivTsKlcW,
Arslan Senki (TV): Fuujin Ranbu,Summer 2016,2016,Ending Theme,blaze,Kalafina,https://open.spotify.com/track/3eAv0smsl7OIoXKcvKrksC,
Arslan Senki (TV): Tsuioku no Shou,,1900,Ending Theme,One Light,Kalafina,https://open.spotify.com/track/1T2x2N3tIa2EP1uj8H67Tz,
Arte,Spring 2020,2020,Opening Theme,Clover (クローバー),Maaya Sakamoto,https://open.spotify.com/track/2dgqUJjMWx0AVitOG3FJMd,
