AnimeTitle,ID,Status
Kochouki: Wakaki Nobunaga,38920,Completed
Koe de Oshigoto! The Animation,8876,Plan to Watch
Koe no Katachi,28851,Completed
Koi Kaze,634,Plan to Watch
Koi to Producer: EVOL×LOVE,40075,Completed
Koi to Uso,34934,Completed
Koi to Uso: Isshou no Koi/Koi no Kimochi,37711,Completed
Koi to Yobu ni wa Kimochi Warui,41103,Completed
Koi wa Ameagari no You ni,34984,Completed
Koisuru Asteroid,39388,Completed
Koisuru Asteroid: Furikaeri - KiraKira Special!,41271,Completed
Koisuru Asteroid: KiraKira Zoukan-gou,40989,Completed
Kokoro Connect,11887,Completed
Kokoro Connect: Michi Random,16001,Completed
Kokoro ga Sakebitagatterunda.,28725,Completed
Kono Oto Tomare!,38080,Completed
Kono Oto Tomare! Part 2,38889,Completed
Kono Subarashii Sekai ni Shukufuku wo!,30831,Completed
Kono Subarashii Sekai ni Shukufuku wo! 2,32937,Completed
Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,34626,Completed
Kono Subarashii Sekai ni Shukufuku wo! Kono Subarashii Choker ni Shukufuku wo!,32380,Completed
Kono Yo no Hate de Koi wo Utau Shoujo YU-NO,34620,Completed
Kono Yo no Hate de Koi wo Utau Shoujo YU-NO: Mugen no Heiretsu Sekai,39846,Completed
Kotonoha no Niwa,16782,Completed
Koukyuu no Karasu,50590,Watching
Koutetsujou no Kabaneri,28623,Completed
Koutetsujou no Kabaneri Movie 3: Unato Kessen,34544,Completed
Kouya no Kotobuki Hikoutai,38301,Dropped
Kujira no Kora wa Sajou ni Utau,34712,Plan to Watch
Kuma Kuma Kuma Bear,40974,Completed
"Kumo desu ga, Nani ka?",37984,Completed
Kumorizora no Mukou wa Hareteiru,52507,Completed
Kunoichi Tsubaki no Mune no Uchi,50338,Plan to Watch
Kuroi Ame ni Utarete,19135,Plan to Watch
Kuuchuu Buranko,6774,Plan to Watch
Kuutei Dragons,39531,Completed
Kuzu no Honkai,32949,Completed
Kyochuu Rettou,38915,Completed
Kyochuu Rettou Movie,40332,Completed
Kyokou Suiri,39017,Completed
Kyoto Teramachi Sanjou no Holmes,37458,Completed
Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,44276,Completed
Laidbackers,38558,Completed
Lapis Re:LiGHTs,37587,Completed
Listeners,40165,Completed
Litchi DE Hikari Club,15045,Plan to Watch
Little Witch Academia,14349,Completed
Little Witch Academia (TV),33489,Completed
Little Witch Academia: Mahoujikake no Parade,19489,Completed
Log Horizon,17265,Completed
Log Horizon 2nd Season,23321,Completed
Log Horizon: Entaku Houkai,41109,Completed
Machikado Mazoku,39071,Completed
Machikado Mazoku: 2-choume,42745,On-Hold
Machine-Doll wa Kizutsukanai,17247,Plan to Watch
Made in Abyss,34599,Completed
Maesetsu!,40085,Completed
Magatsu Wahrheit: Zuerst,37599,Completed
Mahou Shoujo Tokushusen Asuka,37979,Dropped
Mahoutsukai no Yome,35062,Completed
Mahoutsukai no Yome: Gakuin-hen,40134,Completed
Maid of the Dead,20811,Completed
Maiko-san Chi no Makanai-san,41556,On-Hold
Mairimashita! Iruma-kun,39196,Completed
Mairimashita! Iruma-kun 2nd Season,41402,Completed
Mairimashita! Iruma-kun 3rd Season,49784,Watching
Majo no Tabitabi,40571,Completed
Majutsushi Orphen Hagure Tabi,37576,Completed
Majutsushi Orphen Hagure Tabi: Kimluck-hen,41573,Completed
Majutsushi Orphen Hagure Tabi: Tennin no Isan,41549,Completed
Makura no Danshi,30705,Plan to Watch
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",40496,Completed
Maou-jou de Oyasumi,40397,Completed
"Maou-sama, Retry!",38297,Completed
Mars Red,41265,Completed
Masamune-kun no Revenge,33487,Completed
"Masamune-kun no Revenge: Uchi no Mama ni Kagitte/Tsunade Shima, Futatabi./12-Ji o Sugita Shinderera",37377,Completed
Mashiro no Oto,42590,Completed
Mashiro-iro Symphony: The Color of Lovers,10397,Dropped
Mawaru Penguindrum,10721,Plan to Watch
Mayo Chiki!,10110,Completed
Mayonaka no Occult Koumuin,37964,Completed
Mayonaka no Occult Koumuin OVA,39972,Completed
Mayonaka no Occult Koumuin: Fukurokouji to Ano Ko to Ore to,39382,Completed
Märchen Mädchen,35997,Completed
Märchen Mädchen Specials,37973,Completed
Megami-ryou no Ryoubo-kun.,41812,Completed
Meikyuu Black Company,42340,Completed
Mekakucity Actors,21603,Completed
Meng Qi Shi Shen,37618,Dropped
Merc Storia: Mukiryoku no Shounen to Bin no Naka no Shoujo,37232,Completed
